Количество на 100г продукта:,"Жиры, г",Ккал
"Йогурт 3,2% жирности",3.2,68
"Йогурт 6,0% жирности",6.0,92
Какао со сгущенным молоком и сахаром,7.5,321
Камамбер,24.0,300
"Кефир  1,0% жирности",1.0,40
Кефир  нежирный,0.1,31
"Кефир 2,5% жирности",2.5,53
"Кефир 3,2% жирности",3.2,59
Кофе натуральный со сгущенным  молоком и сахаром,8.6,324
"Крем творожный с ванилином 5,0% жирности",5.0,167
Кумыс  из кобыльего молока,1.9,50
"Кумыс  из коровьего молока,  нежирный",0.1,41
"Масса творожная сладкая """"Московская"""" с ванилином 20,0% жирности",20.0,287
"Масса творожная сладкая """"Особая"""" с изюмом 23,0% жирности",23.0,345
"Молоко  пастеризованное 3,5% жирности",3.5,62
"Молоко  пастеризованное,  1,5% жирности",1.5,45
"Молоко  пастеризованное, 2,5% жирности",2.5,54
Молоко  сгущенное стерилизованное нежирное,0.2,71
"Молоко  стерилизованное 3,2% жирности",3.2,60
"Молоко  стерилизованное 3,5% жирности",3.5,63
"Молоко  стерилизованное,  1,5% жирности",1.5,45
"Молоко  стерилизованное, 2,5% жирности",2.5,54
"Молоко  стерилизованное, «Можайское»  3,0% жирности",3.0,58
Молоко  топленое  нежирное,0.1,32
"Молоко  топленое 4,0% жирности",4.0,67
Молоко «Дружба» сгущенное  с сахаром,2.5,271
Молоко «Славянское» сгущенное  с сахаром нежирное,0.2,261
Молоко белковое,1.0,52
"Молоко пастеризованное 3,2% жирности",3.2,60
Молоко пастеризованное нежирное,0.1,32
Молоко сгущенное  с сахаром нежирное,0.2,259
"Молоко сгущенное с сахаром 8,5% жирности",8.5,328
"Молоко сгущенное с сахаром,  5,0% жирности",5.0,295
"Молоко сгущенное стерилизованное 7,8% жирности",7.8,138
"Молоко сухое """"Смоленское"""" 15,0% жирности",15.0,432
Молоко сухое нежирное,1.0,362
"Молоко сухое цельное 25,0% жирности",25.0,483
"Молоко топленое  1,0% жирности",1.0,40
Молочное мороженое,3.5,132
Мороженое молочное в шоколадной глазури,15.0,231
Мороженое молочное крем-брюле,3.5,138
Мороженое молочное с плодами и ягодами,2.8,124
Мороженое молочное шоколадное,3.7,133
Мороженое пломбир,15.0,232
Мороженое пломбир в шоколадной глазури,24.0,310
Мороженое пломбир крем-брюле,15.0,240
Мороженое пломбир с плодами и ягодами,12.0,206
Мороженое пломбир шоколадный,15.0,231
Мороженое сливочное,10.0,183
Мороженое сливочное в шоколадной глазури,20.0,271
Мороженое сливочное крем-брюле,10.0,191
Мороженое сливочное с плодами и ягодами,8.0,166
Мороженое сливочное шоколадное,10.0,185
Моцарелла,22.0,300
"Напиток  «Снежок» 2,5% жирности",2.5,79
"Напиток  «Снежок», плодово-ягодный 1,0% жирности",1.0,69
"Напиток  «Юбилейный»,  1,0% жирности",1.0,40
"Напиток  «Юбилейный»,  2,5% жирности",2.5,53
"Напиток  «Юбилейный», плодово-ягодный, 2,5% жирности",2.5,84
"Напиток  плодово-ягодный, 1,0% жирности",1.0,71
"Напиток кисломолочный, «Бифидин» 2,5% жирности",2.5,61
Пармезан тертый,29.0,431
"Паста  ацидофильная, сладкая 8,0% жирности",8.0,203
"Паста  ацидофильная, сладкая, нежирная",0.2,81
Паста  молочная белковая,0.2,57
"Паста ацидофильная 4,0% жирности",4.0,143
Пахта  «Идеал» пастеризованная,1.0,41
"Пахта  «Идеал», сквашенная",1.0,40
"Продукт кисломолочный «Тонус»  2,5% жирности",2.5,53
"Простокваша  цитрусовая,  1,0% жирности",1.0,63
"Простокваша 1,0% жирности",1.0,40
"Простокваша 2,5% жирности",2.5,53
"Простокваша 3,2% жирности",3.2,59
"Простокваша «Мечниковская» 4,0% жирности",4.0,66
"Простокваша «Цитрусовая» 2,5% жирности",2.5,76
Простокваша нежирная,0.1,30
Пудинг из творога (творог п/жирный),9.6,224
Рикотта,13.0,174
"Ряженка 1,0% жирности",1.0,40
"Ряженка 2,5% жирности",2.5,54
"Ряженка 4,0% жирности",4.0,67
"Ряженка 6,0% жирности",6.0,85
"Сливки  пастеризованные 10,0% жирности",10.0,119
"Сливки  пастеризованные 8,0% жирности",8.0,102
"Сливки  стерилизованные 10,0% жирности",10.0,119
"Сливки пастеризованные 35,0% жирности",35.0,337
"Сливки сгущеные с сахаром 19,0% жирности",19.0,392
"Сливки стерилизованные 25,0% жирности",25.0,251
"Сливки сухие 42,0% жирности",42.0,577
"Сметана 10,0% жирности",10.0,119
"Сметана 15,0% жирности",15.0,162
"Сметана 20,0% жирности",20.0,206
"Сметана 25,0% жирности",25.0,250
"Сметана 30,0% жирности",30.0,293
